@relation all_data_pacman-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-Rfirst-last-precision6

@attribute position-x {'\'(-inf-5.8]\'','\'(5.8-10.6]\'','\'(10.6-15.4]\'','\'(15.4-20.2]\'','\'(20.2-inf)\''}
@attribute position-y {'\'(-inf-4.4]\'','\'(4.4-7.8]\'','\'(7.8-11.2]\'','\'(11.2-14.6]\'','\'(14.6-inf)\''}
@attribute pacman_legal1 {West,Stop,East,North,South,None}
@attribute pacman_legal2 {West,Stop,East,North,South,None}
@attribute pacman_legal3 {West,Stop,East,North,South,None}
@attribute pacman_legal4 {West,Stop,East,North,South,None}
@attribute pacman_mov {West,Stop,East,North,South,None}
@attribute fantasmas {'\'All\''}
@attribute booleanP {True,False}
@attribute booleanG1 {True,False}
@attribute booleanG2 {True,False}
@attribute booleanG3 {True,False}
@attribute booleanG4 {True,False}
@attribute positiong1-x {'\'(-inf-3]\'','\'(3-5]\'','\'(5-7]\'','\'(7-9]\'','\'(9-inf)\''}
@attribute positiong1-y {'\'(-inf-2.8]\'','\'(2.8-4.6]\'','\'(4.6-6.4]\'','\'(6.4-8.2]\'','\'(8.2-inf)\''}
@attribute positiong2-x {'\'(-inf-3.4]\'','\'(3.4-5.8]\'','\'(5.8-8.2]\'','\'(8.2-10.6]\'','\'(10.6-inf)\''}
@attribute positiong2-y {'\'(-inf-3.6]\'','\'(3.6-6.2]\'','\'(6.2-8.8]\'','\'(8.8-11.4]\'','\'(11.4-inf)\''}
@attribute positiong3-x {'\'(-inf-6.6]\'','\'(6.6-10.2]\'','\'(10.2-13.8]\'','\'(13.8-17.4]\'','\'(17.4-inf)\''}
@attribute positiong3-y {'\'(-inf-3]\'','\'(3-5]\'','\'(5-7]\'','\'(7-9]\'','\'(9-inf)\''}
@attribute positiong4-x {'\'(-inf-7.4]\'','\'(7.4-11.8]\'','\'(11.8-16.2]\'','\'(16.2-20.6]\'','\'(20.6-inf)\''}
@attribute positiong4-y {'\'(-inf-3.2]\'','\'(3.2-5.4]\'','\'(5.4-7.6]\'','\'(7.6-9.8]\'','\'(9.8-inf)\''}
@attribute ghost1_legal {West,Stop,East,North,South,None}
@attribute ghost2_legal {West,Stop,East,North,South,None}
@attribute ghost3_legal {West,Stop,East,North,South,None}
@attribute ghost4_legal {West,Stop,East,North,South,None}
@attribute distanciaG1 {'\'(-inf-2000.6]\'','\'(2000.6-4000.2]\'','\'(4000.2-5999.8]\'','\'(5999.8-7999.4]\'','\'(7999.4-inf)\''}
@attribute distanciaG2 {'\'(-inf-2000.6]\'','\'(2000.6-4000.2]\'','\'(4000.2-5999.8]\'','\'(5999.8-7999.4]\'','\'(7999.4-inf)\''}
@attribute distanciaG3 {'\'(-inf-2000.6]\'','\'(2000.6-4000.2]\'','\'(4000.2-5999.8]\'','\'(5999.8-7999.4]\'','\'(7999.4-inf)\''}
@attribute distanciaG4 {'\'(-inf-2000.6]\'','\'(2000.6-4000.2]\'','\'(4000.2-5999.8]\'','\'(5999.8-7999.4]\'','\'(7999.4-inf)\''}
@attribute comida {'\'(-inf-22.8]\'','\'(22.8-45.6]\'','\'(45.6-68.4]\'','\'(68.4-91.2]\'','\'(91.2-inf)\''}
@attribute Dcomida {'\'(-inf-2000.6]\'','\'(2000.6-4000.2]\'','\'(4000.2-5999.8]\'','\'(5999.8-7999.4]\'','\'(7999.4-inf)\''}
@attribute score {'\'(-inf-492.6]\'','\'(492.6-1012.2]\'','\'(1012.2-1531.8]\'','\'(1531.8-2051.4]\'','\'(2051.4-inf)\''}
@attribute score_next {'\'(-inf-552.4]\'','\'(552.4-1131.8]\'','\'(1131.8-1711.2]\'','\'(1711.2-2290.6]\'','\'(2290.6-inf)\''}
@attribute pacman_legal {West,Stop,East,North,South,None}

@data
'\'(5.8-10.6]\'','\'(7.8-11.2]\'',West,Stop,East,North,South,'\'All\'',False,False,False,True,True,'\'(-inf-3]\'','\'(-inf-2.8]\'','\'(-inf-3.4]\'','\'(-inf-3.6]\'','\'(17.4-inf)\'','\'(5-7]\'','\'(20.6-inf)\'','\'(5.4-7.6]\'',Stop,Stop,East,East,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-22.8]\'','\'(7999.4-inf)\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',North
'\'(5.8-10.6]\'','\'(7.8-11.2]\'',West,Stop,East,North,South,'\'All\'',False,False,False,True,True,'\'(-inf-3]\'','\'(-inf-2.8]\'','\'(-inf-3.4]\'','\'(-inf-3.6]\'','\'(17.4-inf)\'','\'(5-7]\'','\'(20.6-inf)\'','\'(5.4-7.6]\'',Stop,Stop,West,South,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-22.8]\'','\'(7999.4-inf)\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',North
'\'(5.8-10.6]\'','\'(7.8-11.2]\'',West,Stop,East,North,South,'\'All\'',False,False,False,True,True,'\'(-inf-3]\'','\'(-inf-2.8]\'','\'(-inf-3.4]\'','\'(-inf-3.6]\'','\'(17.4-inf)\'','\'(3-5]\'','\'(20.6-inf)\'','\'(5.4-7.6]\'',Stop,Stop,South,West,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-22.8]\'','\'(7999.4-inf)\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',North
'\'(5.8-10.6]\'','\'(11.2-14.6]\'',West,Stop,East,North,South,'\'All\'',False,False,False,True,True,'\'(-inf-3]\'','\'(-inf-2.8]\'','\'(-inf-3.4]\'','\'(-inf-3.6]\'','\'(17.4-inf)\'','\'(5-7]\'','\'(20.6-inf)\'','\'(5.4-7.6]\'',Stop,Stop,North,East,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-22.8]\'','\'(7999.4-inf)\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',North
'\'(10.6-15.4]\'','\'(11.2-14.6]\'',West,Stop,East,South,None,'\'All\'',False,False,False,True,True,'\'(-inf-3]\'','\'(-inf-2.8]\'','\'(-inf-3.4]\'','\'(-inf-3.6]\'','\'(17.4-inf)\'','\'(5-7]\'','\'(20.6-inf)\'','\'(5.4-7.6]\'',Stop,Stop,East,West,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-22.8]\'','\'(7999.4-inf)\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',East
'\'(10.6-15.4]\'','\'(11.2-14.6]\'',West,Stop,East,None,None,'\'All\'',False,False,False,True,True,'\'(-inf-3]\'','\'(-inf-2.8]\'','\'(-inf-3.4]\'','\'(-inf-3.6]\'','\'(17.4-inf)\'','\'(5-7]\'','\'(20.6-inf)\'','\'(5.4-7.6]\'',Stop,Stop,West,West,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-22.8]\'','\'(7999.4-inf)\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',East
'\'(10.6-15.4]\'','\'(11.2-14.6]\'',West,Stop,East,South,None,'\'All\'',False,False,False,True,True,'\'(-inf-3]\'','\'(-inf-2.8]\'','\'(-inf-3.4]\'','\'(-inf-3.6]\'','\'(17.4-inf)\'','\'(5-7]\'','\'(20.6-inf)\'','\'(5.4-7.6]\'',Stop,Stop,West,West,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-22.8]\'','\'(7999.4-inf)\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',East
'\'(10.6-15.4]\'','\'(11.2-14.6]\'',West,Stop,East,North,South,'\'All\'',False,False,False,True,True,'\'(-inf-3]\'','\'(-inf-2.8]\'','\'(-inf-3.4]\'','\'(-inf-3.6]\'','\'(17.4-inf)\'','\'(5-7]\'','\'(20.6-inf)\'','\'(5.4-7.6]\'',Stop,Stop,West,West,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-22.8]\'','\'(7999.4-inf)\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',East
'\'(10.6-15.4]\'','\'(7.8-11.2]\'',West,Stop,East,North,South,'\'All\'',False,False,False,True,True,'\'(-inf-3]\'','\'(-inf-2.8]\'','\'(-inf-3.4]\'','\'(-inf-3.6]\'','\'(17.4-inf)\'','\'(5-7]\'','\'(20.6-inf)\'','\'(5.4-7.6]\'',Stop,Stop,East,West,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-22.8]\'','\'(7999.4-inf)\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',South
'\'(10.6-15.4]\'','\'(7.8-11.2]\'',West,Stop,East,North,South,'\'All\'',False,False,False,True,True,'\'(-inf-3]\'','\'(-inf-2.8]\'','\'(-inf-3.4]\'','\'(-inf-3.6]\'','\'(17.4-inf)\'','\'(5-7]\'','\'(20.6-inf)\'','\'(5.4-7.6]\'',Stop,Stop,West,West,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-22.8]\'','\'(7999.4-inf)\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',South
'\'(10.6-15.4]\'','\'(7.8-11.2]\'',West,Stop,North,South,None,'\'All\'',False,False,False,True,True,'\'(-inf-3]\'','\'(-inf-2.8]\'','\'(-inf-3.4]\'','\'(-inf-3.6]\'','\'(17.4-inf)\'','\'(5-7]\'','\'(20.6-inf)\'','\'(5.4-7.6]\'',Stop,Stop,West,West,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-22.8]\'','\'(7999.4-inf)\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',South
'\'(10.6-15.4]\'','\'(7.8-11.2]\'',West,Stop,East,North,South,'\'All\'',False,False,False,True,True,'\'(-inf-3]\'','\'(-inf-2.8]\'','\'(-inf-3.4]\'','\'(-inf-3.6]\'','\'(17.4-inf)\'','\'(5-7]\'','\'(20.6-inf)\'','\'(5.4-7.6]\'',Stop,Stop,West,West,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-22.8]\'','\'(7999.4-inf)\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',South
'\'(10.6-15.4]\'','\'(4.4-7.8]\'',West,Stop,North,South,None,'\'All\'',False,False,False,True,True,'\'(-inf-3]\'','\'(-inf-2.8]\'','\'(-inf-3.4]\'','\'(-inf-3.6]\'','\'(17.4-inf)\'','\'(5-7]\'','\'(20.6-inf)\'','\'(5.4-7.6]\'',Stop,Stop,East,West,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-22.8]\'','\'(7999.4-inf)\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',South
'\'(10.6-15.4]\'','\'(4.4-7.8]\'',West,Stop,East,North,South,'\'All\'',False,False,False,True,True,'\'(-inf-3]\'','\'(-inf-2.8]\'','\'(-inf-3.4]\'','\'(-inf-3.6]\'','\'(17.4-inf)\'','\'(5-7]\'','\'(20.6-inf)\'','\'(5.4-7.6]\'',Stop,Stop,West,West,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-22.8]\'','\'(7999.4-inf)\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',South
'\'(10.6-15.4]\'','\'(4.4-7.8]\'',West,Stop,East,None,None,'\'All\'',False,False,False,True,True,'\'(-inf-3]\'','\'(-inf-2.8]\'','\'(-inf-3.4]\'','\'(-inf-3.6]\'','\'(17.4-inf)\'','\'(5-7]\'','\'(16.2-20.6]\'','\'(5.4-7.6]\'',Stop,Stop,West,West,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-22.8]\'','\'(7999.4-inf)\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',East
'\'(15.4-20.2]\'','\'(4.4-7.8]\'',West,Stop,East,None,None,'\'All\'',False,False,False,True,True,'\'(-inf-3]\'','\'(-inf-2.8]\'','\'(-inf-3.4]\'','\'(-inf-3.6]\'','\'(17.4-inf)\'','\'(5-7]\'','\'(16.2-20.6]\'','\'(5.4-7.6]\'',Stop,Stop,West,West,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-22.8]\'','\'(7999.4-inf)\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',East
'\'(15.4-20.2]\'','\'(4.4-7.8]\'',West,Stop,East,South,None,'\'All\'',False,False,False,False,True,'\'(-inf-3]\'','\'(-inf-2.8]\'','\'(-inf-3.4]\'','\'(-inf-3.6]\'','\'(13.8-17.4]\'','\'(5-7]\'','\'(16.2-20.6]\'','\'(5.4-7.6]\'',Stop,Stop,Stop,West,'\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(-inf-22.8]\'','\'(7999.4-inf)\'','\'(492.6-1012.2]\'','\'(552.4-1131.8]\'',East
'\'(10.6-15.4]\'','\'(7.8-11.2]\'',West,Stop,East,North,South,'\'All\'',False,True,True,True,True,'\'(3-5]\'','\'(4.6-6.4]\'','\'(3.4-5.8]\'','\'(11.4-inf)\'','\'(10.2-13.8]\'','\'(5-7]\'','\'(11.8-16.2]\'','\'(9.8-inf)\'',Stop,Stop,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-22.8]\'','\'(-inf-2000.6]\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',Stop
'\'(10.6-15.4]\'','\'(7.8-11.2]\'',West,Stop,East,North,South,'\'All\'',False,True,True,True,True,'\'(3-5]\'','\'(4.6-6.4]\'','\'(3.4-5.8]\'','\'(11.4-inf)\'','\'(13.8-17.4]\'','\'(5-7]\'','\'(11.8-16.2]\'','\'(9.8-inf)\'',Stop,West,East,East,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-22.8]\'','\'(-inf-2000.6]\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',Stop
'\'(10.6-15.4]\'','\'(7.8-11.2]\'',West,Stop,East,North,South,'\'All\'',False,True,True,True,True,'\'(3-5]\'','\'(4.6-6.4]\'','\'(-inf-3.4]\'','\'(11.4-inf)\'','\'(10.2-13.8]\'','\'(5-7]\'','\'(11.8-16.2]\'','\'(9.8-inf)\'',West,West,West,West,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-22.8]\'','\'(-inf-2000.6]\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',North
'\'(10.6-15.4]\'','\'(11.2-14.6]\'',West,Stop,East,North,South,'\'All\'',False,True,True,True,False,'\'(3-5]\'','\'(4.6-6.4]\'','\'(-inf-3.4]\'','\'(11.4-inf)\'','\'(10.2-13.8]\'','\'(5-7]\'','\'(11.8-16.2]\'','\'(9.8-inf)\'',South,West,North,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(-inf-22.8]\'','\'(-inf-2000.6]\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',North
'\'(10.6-15.4]\'','\'(11.2-14.6]\'',West,Stop,East,North,South,'\'All\'',False,True,True,True,False,'\'(3-5]\'','\'(4.6-6.4]\'','\'(-inf-3.4]\'','\'(8.8-11.4]\'','\'(10.2-13.8]\'','\'(5-7]\'','\'(-inf-7.4]\'','\'(-inf-3.2]\'',North,South,West,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(-inf-22.8]\'','\'(-inf-2000.6]\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',East
'\'(10.6-15.4]\'','\'(11.2-14.6]\'',West,Stop,East,North,South,'\'All\'',False,True,True,True,False,'\'(3-5]\'','\'(4.6-6.4]\'','\'(3.4-5.8]\'','\'(8.8-11.4]\'','\'(10.2-13.8]\'','\'(5-7]\'','\'(-inf-7.4]\'','\'(-inf-3.2]\'',North,East,West,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(-inf-22.8]\'','\'(-inf-2000.6]\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',East
'\'(10.6-15.4]\'','\'(7.8-11.2]\'',West,Stop,East,North,South,'\'All\'',False,True,True,True,False,'\'(-inf-3]\'','\'(4.6-6.4]\'','\'(3.4-5.8]\'','\'(8.8-11.4]\'','\'(10.2-13.8]\'','\'(5-7]\'','\'(-inf-7.4]\'','\'(-inf-3.2]\'',West,East,West,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(-inf-22.8]\'','\'(-inf-2000.6]\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',South
'\'(10.6-15.4]\'','\'(7.8-11.2]\'',West,Stop,East,North,South,'\'All\'',False,True,True,True,False,'\'(-inf-3]\'','\'(6.4-8.2]\'','\'(3.4-5.8]\'','\'(8.8-11.4]\'','\'(10.2-13.8]\'','\'(7-9]\'','\'(-inf-7.4]\'','\'(-inf-3.2]\'',North,East,North,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(-inf-22.8]\'','\'(-inf-2000.6]\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',South
'\'(10.6-15.4]\'','\'(7.8-11.2]\'',West,Stop,East,North,South,'\'All\'',False,True,True,True,False,'\'(-inf-3]\'','\'(6.4-8.2]\'','\'(3.4-5.8]\'','\'(11.4-inf)\'','\'(10.2-13.8]\'','\'(7-9]\'','\'(-inf-7.4]\'','\'(-inf-3.2]\'',North,North,East,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(-inf-22.8]\'','\'(-inf-2000.6]\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',South
'\'(10.6-15.4]\'','\'(7.8-11.2]\'',West,Stop,East,North,South,'\'All\'',False,True,True,False,False,'\'(-inf-3]\'','\'(6.4-8.2]\'','\'(3.4-5.8]\'','\'(11.4-inf)\'','\'(10.2-13.8]\'','\'(7-9]\'','\'(-inf-7.4]\'','\'(-inf-3.2]\'',South,North,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-22.8]\'','\'(-inf-2000.6]\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',West
'\'(10.6-15.4]\'','\'(7.8-11.2]\'',West,Stop,East,North,South,'\'All\'',False,True,True,False,False,'\'(-inf-3]\'','\'(6.4-8.2]\'','\'(3.4-5.8]\'','\'(11.4-inf)\'','\'(-inf-6.6]\'','\'(-inf-3]\'','\'(-inf-7.4]\'','\'(-inf-3.2]\'',West,East,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-22.8]\'','\'(-inf-2000.6]\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',South
'\'(10.6-15.4]\'','\'(7.8-11.2]\'',West,Stop,East,North,South,'\'All\'',False,True,True,False,False,'\'(-inf-3]\'','\'(4.6-6.4]\'','\'(3.4-5.8]\'','\'(11.4-inf)\'','\'(-inf-6.6]\'','\'(-inf-3]\'','\'(-inf-7.4]\'','\'(-inf-3.2]\'',South,North,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-22.8]\'','\'(-inf-2000.6]\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',West
'\'(10.6-15.4]\'','\'(7.8-11.2]\'',West,Stop,East,North,South,'\'All\'',False,True,True,False,False,'\'(-inf-3]\'','\'(4.6-6.4]\'','\'(5.8-8.2]\'','\'(11.4-inf)\'','\'(-inf-6.6]\'','\'(-inf-3]\'','\'(-inf-7.4]\'','\'(-inf-3.2]\'',East,East,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-22.8]\'','\'(-inf-2000.6]\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',West
'\'(10.6-15.4]\'','\'(4.4-7.8]\'',West,Stop,East,North,South,'\'All\'',False,True,True,False,False,'\'(3-5]\'','\'(4.6-6.4]\'','\'(5.8-8.2]\'','\'(11.4-inf)\'','\'(-inf-6.6]\'','\'(-inf-3]\'','\'(-inf-7.4]\'','\'(-inf-3.2]\'',East,East,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-22.8]\'','\'(-inf-2000.6]\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',South
'\'(5.8-10.6]\'','\'(4.4-7.8]\'',West,Stop,East,North,South,'\'All\'',False,True,True,False,False,'\'(3-5]\'','\'(6.4-8.2]\'','\'(5.8-8.2]\'','\'(11.4-inf)\'','\'(-inf-6.6]\'','\'(-inf-3]\'','\'(-inf-7.4]\'','\'(-inf-3.2]\'',North,North,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-22.8]\'','\'(-inf-2000.6]\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',West
'\'(5.8-10.6]\'','\'(4.4-7.8]\'',West,Stop,East,North,South,'\'All\'',False,True,True,False,False,'\'(3-5]\'','\'(4.6-6.4]\'','\'(5.8-8.2]\'','\'(11.4-inf)\'','\'(-inf-6.6]\'','\'(-inf-3]\'','\'(-inf-7.4]\'','\'(-inf-3.2]\'',South,East,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-22.8]\'','\'(-inf-2000.6]\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',West
'\'(5.8-10.6]\'','\'(4.4-7.8]\'',West,Stop,East,North,South,'\'All\'',False,True,True,False,False,'\'(3-5]\'','\'(6.4-8.2]\'','\'(5.8-8.2]\'','\'(11.4-inf)\'','\'(-inf-6.6]\'','\'(-inf-3]\'','\'(-inf-7.4]\'','\'(-inf-3.2]\'',North,West,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-22.8]\'','\'(-inf-2000.6]\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',West
'\'(5.8-10.6]\'','\'(4.4-7.8]\'',West,Stop,East,North,South,'\'All\'',False,True,True,False,False,'\'(3-5]\'','\'(4.6-6.4]\'','\'(5.8-8.2]\'','\'(11.4-inf)\'','\'(-inf-6.6]\'','\'(-inf-3]\'','\'(-inf-7.4]\'','\'(-inf-3.2]\'',South,West,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-22.8]\'','\'(-inf-2000.6]\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',South
'\'(5.8-10.6]\'','\'(4.4-7.8]\'',West,Stop,East,North,South,'\'All\'',False,True,True,False,False,'\'(-inf-3]\'','\'(4.6-6.4]\'','\'(3.4-5.8]\'','\'(11.4-inf)\'','\'(-inf-6.6]\'','\'(-inf-3]\'','\'(-inf-7.4]\'','\'(-inf-3.2]\'',West,West,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-22.8]\'','\'(-inf-2000.6]\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',West
'\'(5.8-10.6]\'','\'(4.4-7.8]\'',West,Stop,East,North,South,'\'All\'',False,True,True,False,False,'\'(-inf-3]\'','\'(4.6-6.4]\'','\'(5.8-8.2]\'','\'(11.4-inf)\'','\'(-inf-6.6]\'','\'(-inf-3]\'','\'(-inf-7.4]\'','\'(-inf-3.2]\'',West,East,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-22.8]\'','\'(-inf-2000.6]\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',West
'\'(-inf-5.8]\'','\'(4.4-7.8]\'',West,Stop,East,North,South,'\'All\'',False,True,True,False,False,'\'(-inf-3]\'','\'(4.6-6.4]\'','\'(3.4-5.8]\'','\'(11.4-inf)\'','\'(-inf-6.6]\'','\'(-inf-3]\'','\'(-inf-7.4]\'','\'(-inf-3.2]\'',South,West,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-22.8]\'','\'(-inf-2000.6]\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',West
'\'(-inf-5.8]\'','\'(4.4-7.8]\'',West,Stop,East,North,South,'\'All\'',False,True,True,False,False,'\'(-inf-3]\'','\'(4.6-6.4]\'','\'(3.4-5.8]\'','\'(11.4-inf)\'','\'(-inf-6.6]\'','\'(-inf-3]\'','\'(-inf-7.4]\'','\'(-inf-3.2]\'',East,West,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-22.8]\'','\'(-inf-2000.6]\'','\'(-inf-492.6]\'','\'(-inf-552.4]\'',West
'\'(-inf-5.8]\'','\'(4.4-7.8]\'',West,Stop,East,North,South,'\'All\'',False,True,True,False,False,'\'(-inf-3]\'','\'(4.6-6.4]\'','\'(3.4-5.8]\'','\'(11.4-inf)\'','\'(-inf-6.6]\'','\'(-inf-3]\'','\'(-inf-7.4]\'','\'(-inf-3.2]\'',East,West,Stop,Stop,'\'(-inf-2000.6]\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-22.8]\'','\'(-inf-2000.6]\'','\'(-inf-492.6]\'','\'(552.4-1131.8]\'',West
'\'(-inf-5.8]\'','\'(4.4-7.8]\'',West,Stop,East,North,South,'\'All\'',False,False,True,False,False,'\'(-inf-3]\'','\'(4.6-6.4]\'','\'(-inf-3.4]\'','\'(11.4-inf)\'','\'(-inf-6.6]\'','\'(-inf-3]\'','\'(-inf-7.4]\'','\'(-inf-3.2]\'',Stop,West,Stop,Stop,'\'(7999.4-inf)\'','\'(-inf-2000.6]\'','\'(7999.4-inf)\'','\'(7999.4-inf)\'','\'(-inf-22.8]\'','\'(-inf-2000.6]\'','\'(492.6-1012.2]\'','\'(552.4-1131.8]\'',South
